GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bom-maven-plugin,de.eitco.cicd.bom.xml,BillOfMaterials,14,134,1,1,4,47,3,27,2,27
bom-maven-plugin,de.eitco.cicd.bom.xml,Scm,28,45,4,4,8,11,8,6,4,6
bom-maven-plugin,de.eitco.cicd.bom.xml,Exclusion,0,19,0,0,0,7,0,5,0,5
bom-maven-plugin,de.eitco.cicd.bom.xml,License,73,0,8,0,19,0,14,0,10,0
bom-maven-plugin,de.eitco.cicd.bom.xml,Organization,14,27,2,2,4,7,4,4,2,4
bom-maven-plugin,de.eitco.cicd.bom.xml,Developer,121,0,14,0,31,0,23,0,16,0
bom-maven-plugin,de.eitco.cicd.bom.xml,DependencyManagement,4,18,1,1,0,6,1,3,0,3
bom-maven-plugin,de.eitco.cicd.bom.xml,Dependency,10,90,0,4,4,26,2,20,2,18
bom-maven-plugin,de.eitco.cicd.bom,CreateBillOfMaterialsMojo.new HashMap() {...},0,18,0,0,0,5,0,1,0,1
bom-maven-plugin,de.eitco.cicd.bom,CreateBillOfMaterialsMojo,9,253,1,9,3,52,1,12,0,8
bom-maven-plugin,de.eitco.cicd.bom,AttachBomSignatureMojo,47,0,4,0,12,0,5,0,3,0
bom-maven-plugin,de.eitco.cicd.bom,AbstractBillOfMaterialsMojo,22,25,0,0,4,5,2,3,2,3
bom-maven-plugin,de.eitco.cicd.bom,CreateBomChecksumsMojo,66,0,0,0,16,0,3,0,3,0
bom-maven-plugin,de.eitco.cicd.bom_maven_plugin,HelpMojo,773,0,112,0,156,0,72,0,16,0
