GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dotnet-maven-plugin,de.eitco.cicd.dotnet,CleanMojo,15,0,2,0,6,0,3,0,2,0
dotnet-maven-plugin,de.eitco.cicd.dotnet,InstallMojo,28,130,4,8,9,21,4,6,0,4
dotnet-maven-plugin,de.eitco.cicd.dotnet,DotnetExecutor,307,456,41,27,56,93,37,22,3,21
dotnet-maven-plugin,de.eitco.cicd.dotnet,AbstractDotnetMojo,93,119,5,3,22,29,6,8,3,7
dotnet-maven-plugin,de.eitco.cicd.dotnet,BuildMojo,5,16,1,1,2,4,1,2,0,2
dotnet-maven-plugin,de.eitco.cicd.dotnet,TestMojo,30,113,4,8,10,25,5,7,1,5
dotnet-maven-plugin,de.eitco.cicd.dotnet,DotnetExecutor.NugetConfigLocation,0,21,0,0,0,2,0,1,0,1
dotnet-maven-plugin,de.eitco.cicd.dotnet,DotnetExecutor.ExecutionOptions,17,38,3,1,4,11,3,3,1,3
dotnet-maven-plugin,de.eitco.cicd.dotnet,PackMojo,5,16,1,1,2,4,1,2,0,2
dotnet-maven-plugin,de.eitco.cicd.dotnet,InitializeMojo,46,33,4,2,9,8,3,2,0,2
dotnet-maven-plugin,de.eitco.cicd.dotnet,NugetPushMojo,202,0,18,0,25,0,13,0,4,0
dotnet-maven-plugin,de.eitco.cicd.dotnet_maven_plugin,HelpMojo,773,0,112,0,156,0,72,0,16,0
