GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
html-maven-plugin,de.eitco.commons.html.maven.plugin,HtmlArtifactRegistry,0,43,0,0,0,8,0,6,0,6
html-maven-plugin,de.eitco.commons.html.maven.plugin,WebResourcesMojo,66,22,16,0,15,5,11,2,3,2
html-maven-plugin,de.eitco.commons.html.maven.plugin,AbstractHtmlMojo,92,7,9,1,29,3,7,2,2,2
html-maven-plugin,de.eitco.commons.html.maven.plugin,AbstractHtmlGenerationMojo,50,126,8,6,13,30,8,5,2,4
html-maven-plugin,de.eitco.commons.html.maven.plugin,AbstractHtmlMojo.OrderedFile,92,0,12,0,22,0,9,0,3,0
html-maven-plugin,de.eitco.commons.html.maven.plugin,MarkdownToHtmlMojo,17,153,3,7,5,34,3,8,0,6
html-maven-plugin,de.eitco.commons.html.maven.plugin,WebResourcesMojo.new AbstractHtmlMojo.OrderedFileHandler() {...},40,6,2,0,9,1,4,1,3,1
html-maven-plugin,de.eitco.commons.html.maven.plugin,GenerateZipMojo,16,67,0,2,4,16,0,3,0,2
html-maven-plugin,de.eitco.commons.html.maven.plugin,DeployHtmlMojo,178,0,18,0,37,0,15,0,6,0
html-maven-plugin,de.eitco.commons.html.maven.plugin,AsciiDocMojo,0,53,0,0,0,10,0,3,0,3
html-maven-plugin,de.eitco.cicd.html.html_maven_plugin,HelpMojo,773,0,112,0,156,0,72,0,16,0
