GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
typescript-maven-plugin,de.eitco.cicd.typescript_maven_plugin,HelpMojo,773,0,112,0,156,0,72,0,16,0
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,NpmDependency,0,30,0,0,0,11,0,7,0,7
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,Reference,11,0,0,0,4,0,3,0,3,0
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,AbstractTypescriptMojo,23,253,5,5,3,61,6,9,1,9
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,CompilerOptions,429,333,0,0,172,114,86,105,86,105
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,NpmCompileMojo,0,5,0,0,0,2,0,2,0,2
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,PathList.Converter,6,0,0,0,2,0,2,0,2,0
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,Package,126,272,12,12,22,73,10,29,3,24
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,DistributionDirectoryNpmExecutionMojo,0,18,0,0,0,3,0,2,0,2
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,InstallNpmMojo,6,13,2,2,2,5,2,2,0,2
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,TsConfig,10,80,0,0,4,27,2,15,2,15
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,PathList,15,0,0,0,5,0,3,0,3,0
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,DiffPackageMojo,78,0,6,0,20,0,5,0,2,0
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,GenerateNpmProjectMojo,32,110,5,3,7,23,4,3,1,2
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,Person,27,0,0,0,10,0,7,0,7,0
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,DependencyType,0,21,0,0,0,2,0,1,0,1
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,NpmDependencyMetaDataReader,0,29,0,0,0,7,0,2,0,2
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,NpmPackageMojo,14,119,2,6,4,21,2,6,0,4
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,AngularCompilerOptions,76,60,0,0,38,20,19,20,19,20
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,NpmDeployMojo,7,0,0,0,3,0,3,0,3,0
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,AbstractNpmExecutionMojo,11,41,5,3,2,10,4,3,0,3
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,CompilationMode,0,15,0,0,0,2,0,1,0,1
typescript-maven-plugin,de.eitco.cicd.typescript.maven.plugin,NpmProjectBuilder,90,262,7,13,18,59,10,20,4,16
